Shape_ID;Top_Rad;Bottom_Rad;Angle;Edges;Height;Bevel_Offset;Bevel_Height;Bevel_Weight;T1;T2;T3;T4;T5;Average_Cd;Outcome
Shape_6911;15;70;344;8;144;2;13;1;0.22;0.23;0.22;0.22;0.2;0.21;Optimal
Shape_6912;33;27;195;61;161;7;11;2;0.21;0.23;0.21;0.23;0.21;0.22;Optimal
Shape_6914;19;28;202;23;37;1;11;1;0.23;0.25;0.26;0.24;0.23;0.24;Optimal
Shape_6916;16;42;335;13;282;-2;11;-1;0.2;0.22;0.21;0.23;0.23;0.22;Optimal
Shape_6931;108;58;294;45;46;7;14;2;0.23;0.21;0.21;0.22;0.21;0.22;Optimal
Shape_6933;102;130;349;58;89;7;8;0;0.24;0.23;0.24;0.24;0.25;0.25;Optimal
Shape_6935;20;26;281;42;234;4;10;-2;0.19;0.17;0.16;0.18;0.18;0.18;Optimal
Shape_6944;25;23;328;52;223;-1;11;0;0.17;0.18;0.19;0.19;0.17;0.18;Optimal
Shape_6945;64;114;294;63;71;8;19;-1;0.21;0.22;0.22;0.25;0.25;0.23;Optimal
Shape_6949;95;17;280;26;222;1;5;2;0.26;0.25;0.24;0.24;0.27;0.25;Optimal
Shape_6951;62;100;352;57;286;9;18;1;0.24;0.21;0.21;0.25;0.23;0.23;Optimal
Shape_6953;13;166;340;43;254;6;16;3;0.23;0.23;0.24;0.23;0.23;0.22;Optimal
Shape_6954;40;79;339;5;60;8;7;-1;0.21;0.23;0.2;0.23;0.21;0.21;Optimal
Shape_6964;53;74;313;10;52;-1;13;3;0.21;0.2;0.2;0.21;0.18;0.2;Optimal
Shape_6967;45;51;271;40;178;3;2;2;0.19;0.22;0.19;0.21;0.21;0.21;Optimal
Shape_6970;46;32;344;47;53;2;15;0;0.17;0.18;0.17;0.19;0.19;0.17;Optimal
Shape_6972;49;25;292;55;67;4;9;-2;0.17;0.16;0.15;0.16;0.16;0.15;Optimal
Shape_6976;101;80;355;38;235;6;14;-1;0.25;0.23;0.26;0.25;0.27;0.25;Optimal
Shape_6982;114;8;237;44;142;1;3;-2;0.25;0.24;0.24;0.26;0.26;0.25;Optimal
Shape_6984;75;142;300;63;61;9;4;3;0.18;0.18;0.21;0.19;0.19;0.2;Optimal
Shape_6989;58;19;218;40;48;-4;3;0;0.24;0.26;0.25;0.25;0.25;0.25;Optimal
Shape_6992;85;20;357;21;129;3;19;-2;0.18;0.19;0.18;0.21;0.17;0.19;Optimal
Shape_6996;84;86;330;53;303;4;4;3;0.2;0.22;0.22;0.22;0.21;0.21;Optimal
Shape_6999;17;77;347;59;308;-3;6;-1;0.17;0.19;0.2;0.18;0.2;0.19;Optimal
Shape_7000;60;30;269;54;17;1;15;0;0.22;0.2;0.22;0.2;0.23;0.21;Optimal
Shape_7005;66;104;293;62;150;2;2;0;0.25;0.25;0.24;0.26;0.25;0.25;Optimal
Shape_7022;65;144;337;35;144;2;5;2;0.22;0.25;0.23;0.25;0.25;0.24;Optimal
Shape_7031;107;33;293;56;123;-4;14;1;0.23;0.22;0.23;0.22;0.24;0.23;Optimal
Shape_7037;42;65;223;12;96;1;2;3;0.24;0.25;0.23;0.24;0.24;0.25;Optimal
Shape_7046;38;37;230;44;296;8;8;3;0.25;0.22;0.24;0.23;0.22;0.23;Optimal
Shape_7054;112;43;351;3;250;5;2;-2;0.27;0.24;0.24;0.24;0.26;0.25;Optimal
Shape_7057;106;62;320;33;201;3;13;-2;0.25;0.27;0.25;0.25;0.27;0.25;Optimal
Shape_7061;16;98;207;58;240;9;4;-2;0.25;0.26;0.26;0.24;0.24;0.25;Optimal
Shape_7068;86;143;359;57;103;9;3;-2;0.2;0.21;0.2;0.2;0.21;0.2;Optimal
Shape_7070;3;82;349;43;187;5;14;0;0.19;0.19;0.2;0.18;0.2;0.19;Optimal
Shape_7079;70;85;326;55;149;4;17;3;0.18;0.19;0.19;0.18;0.19;0.18;Optimal
Shape_7083;170;34;344;54;197;5;17;2;0.25;0.23;0.23;0.25;0.23;0.24;Optimal
Shape_7086;104;18;346;24;111;-3;18;2;0.19;0.19;0.18;0.2;0.21;0.2;Optimal
Shape_7089;22;44;345;6;204;8;11;0;0.22;0.22;0.22;0.23;0.25;0.23;Optimal
Shape_7092;41;114;282;28;197;7;2;3;0.25;0.23;0.23;0.23;0.24;0.24;Optimal
